"Roll"|"Description"
"2-2"|"There is a lever on the wall here. If you pull it roll D6. 1-2= A pit opens up beneath you and you fall in, lose 2 HP. 3-4= A pit opens up in the next room and you avoid any enemies if any are found there. 5-6= A compartment opens and reveals a box. Roll on CT1."
"2-3"|"Mounted on a wall is a large wooden relief showing a god. Roll on GOT1 to identify the god. There are some hooks here on which to hang offerings. Only offerings that can be hung award 1 FP."
"2-4"|"Hidden to one side is a body you recognise as a warden from your town. His blue arm band is gone. Add Warden Revenge Quest. If you encounter a GUARD roll D6. 1-3= The GUARD wears a blue arm band and you swing into a rage +1 Shift. Once found, cross off quest and take the band."
"2-5"|"You do not notice at first, but when you glance up you see a bag slung over a beam. It is out of reach, but if you have some way of pulling it down through Inventive Usage, then inside you find a couple of items. Roll on POT2 and SCT1."
"2-6"|"There is an old rough stone, water filled, basin set in the wall here. Above it is a symbol. Roll on SST1. If you can place a related item in the water it transforms into a MQ random gem. Roll on GMT1."
"3-3"|"In the corner of the room there is a wooden panel showing a painting of a god. Roll on GOT1 to identify it. Beneath the panel is a place where offerings can be left, and when applied correctly gain 1 FP."
"3-4"|"You spot a stone in the wall that appears out of place. You take a closer look and find it is loose. Behind it is half a cheese wrapped in some cloth. Gain 1 ration. There is also a little dried meat."
"3-5"|"There is a chalk board here that reads 'Krelas the Cleric is delivering the package today' (Krelas Quest). If you encounter a Dark Cleric roll D6. 1-3= The cleric is Krelas and if you defeat him, you find a package containing a piece of armour on his person. Roll on ARYT2."
"3-6"|"There are some crates in the corner of the room. One is carefully balanced and looks valuable. Make a Precision Check PC9(2) or it tumbles and smashes its contents. If successful gain 20 XP and inside is a Potion of Resist Magic and a Potion of Speed."
"4-4"|"A woman runs into the room and says, ""Help me, they have my father."" (Father Quest) You explain that it is better that you find him and she leaves. If you release a male prisoner roll D6 1-3= He is her father. Gain 10 GC when you calculate liberated prisoners."
"4-5"|"There are several stacked backpacks here that look like raid spoils. As you approach you hold your nose as something is off and the place seems a mess. As it senses your presence, a HUGE RAT jumps out of the pile and you must fight. Inside the pack there are 4D6 SC in a pouch."
"4-6"|"A box on the wall opens out to show an ornate carved bone shrine. Roll on GOT1 to identify the god. There is a small ledge where you can place small offerings only. When correctly applied gain 1 FP."
"5-5"|"You check a space behind a counter and accidentally stand on a pressure plate. A cloud of gas billows forth. Roll 2D6 and add your Precision. If the total is 7 or under then the cloud engulfs you and you lose 3 HP."
"5-6"|"You must have been making too much noise for there is a shout and in bursts a foe. Roll on L1P +1 and face the enemy. If you survive you find they were also carrying a bag. Roll on BT1."
"6-6"|"You notice beneath your feet a loose stone and when you lift it you find a concealed compartment. It looks just big enough to house a potion in a glass bottle. The metal lid may become jammed though, make a precision check PC8(1). If successful gain 30 XP and roll on POT2."
"2-2"|"Tucked to one side is a body. It has been looted apart from a slip of paper with a header that reads 'Contract,' and below 'collect me 5 rats tails' (Rat Tails Quest). If you collect 5 rat tails you can return this to the exterminator back at the town and collect 5 GC."
"2-3"|"There is a tall cabinet standing to one side. Its doors are thick and heavy and as you pull it open it tips over. Roll 2D6 and add your discipline. If you roll over 7 you avoid the falling cabinet. Otherwise it bashes into you and you lose 2 HP."
"3-3"|"There is a statue of a god in the corner of the room. Roll on GOT1 to identify it. Beneath the god is a place where offerings can be left and when applied correctly gain 1 FP. There is also a small pouch and casket here. Both are empty."
